1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
917	-0.491438	115.198058	0.335454	0.016517	2.1
918	-0.527250	115.979695	0.333540	0.024037	2.2
919	-0.497640	115.878047	0.333788	0.020155	1.9
920	-0.449401	116.380003	0.332568	0.026268	2.2
921	-0.479940	116.367619	0.332598	0.049286	2.3
922	-0.431736	117.367519	0.330195	0.032561	2.6
923	-0.510515	116.618432	0.331992	0.034807	3.3
924	-0.479027	115.869994	0.333807	0.028031	3.0
925	-0.500362	116.867555	0.331392	0.056601	2.3
926	-0.470371	116.361873	0.332612	0.043384	1.9
927	-0.455857	117.361873	0.330208	0.018134	2.3
928	-0.484817	116.611207	0.332009	0.028582	2.3
929	-0.476139	115.882914	0.333776	0.015624	2.2
930	-0.514667	116.394628	0.332533	0.039527	2.6
931	-0.454374	115.685290	0.334259	0.029377	3.1
932	-0.466720	116.685037	0.331831	0.016058	2.3
933	-0.495491	116.158068	0.333106	0.024218	2.2
934	-0.498401	116.977890	0.331127	0.029649	2.5
935	-0.492438	116.414734	0.332484	0.024815	1.7
936	-0.465513	115.723457	0.334165	0.042648	2.2
937	-0.527416	116.722644	0.331741	0.052780	2.4
938	-0.504521	117.721841	0.329351	0.060411	2.3
939	-0.464285	118.721392	0.326995	0.030180	2.1
940	-0.486126	119.721357	0.324672	0.037693	2.0
941	-0.492834	120.718213	0.322388	0.011688	2.2
942	-0.471069	121.395038	0.320855	0.029656	2.3
943	-0.520993	121.068338	0.321593	0.026569	2.1
944	-0.484895	120.680607	0.322473	0.047198	2.7
945	-0.444151	119.919395	0.324215	0.027625	2.0
946	-0.480642	120.913792	0.321943	0.009699	2.0
947	-0.432385	120.304525	0.323332	0.020846	2.3
948	-0.476764	120.031210	0.323958	0.034951	2.2
949	-0.473016	120.987005	0.321777	0.026405	1.9
950	-0.458252	120.227940	0.323507	0.040472	2.1
951	-0.469055	119.689505	0.324745	0.027738	2.2
952	-0.531806	118.929040	0.326510	0.015816	2.1
953	-0.457719	118.243303	0.328118	0.013119	2.3
954	-0.553463	118.094379	0.328469	0.043589	2.2
955	-0.449746	118.918096	0.326535	0.023368	2.1
956	-0.440990	118.160465	0.328313	0.029929	2.3
957	-0.462419	119.150437	0.325994	0.012495	2.3
958	-0.506177	119.640868	0.324857	0.034924	1.8
959	-0.485320	118.940892	0.326482	0.046254	1.9
960	-0.500622	118.180036	0.328267	0.015937	1.7
961	-0.463687	117.816504	0.329127	0.023842	1.8
962	-0.507666	117.144784	0.330727	0.007191	1.7
963	-0.470844	117.343886	0.330251	0.015119	1.8
964	-0.435658	117.116706	0.330794	0.017334	1.8
965	-0.446975	117.331152	0.330282	0.032031	2.1
966	-0.426520	118.239134	0.328128	0.027929	2.4
967	-0.504900	119.143256	0.326011	0.018931	1.9
968	-0.481869	119.227674	0.325815	0.023166	1.7
969	-0.430876	118.836510	0.326726	0.036303	1.7
970	-0.483744	118.095559	0.328466	0.036917	1.8
971	-0.459382	119.095513	0.326122	0.009955	1.9
972	-0.502271	119.330774	0.325575	0.028450	2.0
973	-0.504037	119.615926	0.324915	0.044854	2.0
974	-0.478376	118.860027	0.326671	0.027763	2.3
975	-0.544515	119.859802	0.324352	0.023543	1.7
976	-0.560339	120.777961	0.322252	0.072217	1.6
977	-0.530089	121.777955	0.319995	0.046323	1.7
978	-0.499431	121.044996	0.321646	0.025294	3.6
